Cpu,Price_in_euros
Intel Core i3 6006U 2GHz,539.0
Intel Core i7 6700HQ 2.6GHz,879.01
Intel Core i7 7500U 2.7GHz,900.0
Intel Core i5 1.8GHz,898.94
Intel Core i3 6006U 2.0GHz,428.0
Intel Core i5 7300U 2.6GHz,1124.0
Intel Core i5 7200U 2.5GHz,699.0
Intel Core i3 7100U 2.4GHz,499.0
Intel Core i7 7700HQ 2.8GHz,1348.48
Intel Core i7 7600U 2.8GHz,2445.0
Intel Core i5 2.9GHz,1958.9
Intel Core i7 8550U 1.8GHz,609.0
Intel Pentium Quad Core N4200 1.1GHz,344.0
Intel Core i7 6500U 2.5GHz,1747.0
Intel Core i7 8650U 1.9GHz,1298.0
Intel Celeron Quad Core N3710 1.6GHz,329.0
Intel Core i7 7700HQ 2.8GHz,1409.0
Intel Core i7 6500U 2.5GHz,1686.64
Intel Core i7 6700HQ 2.6GHz,1169.0
Intel Core i5 7200U 2.5GHz,1285.0
Intel Celeron Dual Core N3060 1.6GHz,355.0
Intel Core i7 7500U 2.7GHz,859.01
Intel Core i7 7500U 2.7GHz,799.0
Intel Atom x5-Z8300 1.44GHz,244.99
Intel Core i7 6700HQ 2.6GHz,1229.0
Intel Core i7 6700HQ 2.6GHz,2899.0
Intel Core i5 7300HQ 2.5GHz,949.0
Intel Core i7 7700HQ 2.8GHz,1350.0
Intel Core i3 7100U 2.4GHz,398.99
Intel Core i7 7500U 2.7GHz,1010.0
Intel Core i5 7200U 2.5GHz,1349.0
Intel Core i5 7200U 2.5GHz,557.37
Intel Core i5 7200U 2.5GHz,836.0
Intel Pentium Quad Core N3710 1.6GHz,500.0
Intel Core i5 6200U 2.3GHz,1000.0
Intel Core i7 7700HQ 2.8GHz,1907.99
Intel Celeron Dual Core N3060 1.6GHz,299.0
Intel Core i5 8250U 1.6GHz,1049.0
Intel Core i5 7200U 2.5GHz,1875.0
Intel Core i7 6700HQ 2.6GHz,1272.0
Intel Core i7 7700HQ 2.8GHz,1925.0
Intel Core i5 7200U 2.5GHz,597.0
Intel Core i5 6200U 2.3GHz,1195.0
Intel Core i7 6500U 2.5GHz,1268.0
Intel Core i7 7500U 2.7GHz,709.0
Intel Core i5 7200U 2.5GHz,485.0
Intel Core i3 6006U 2GHz,439.0
Intel Core i7 7700HQ 2.8GHz,2899.0
AMD Ryzen 1700 3GHz,2199.0
Intel Core i5 7200U 2.5GHz,1049.26
Intel Core i3 7100U 2.4GHz,735.0
Intel Celeron Dual Core N3060 1.6GHz,295.0
Intel Core i7 7820HK 2.9GHz,6099.0
Intel Core i7 6500U 2.5GHz,764.0
Intel Core i7 8550U 1.8GHz,1084.0
Intel Core i7 7700HQ 2.8GHz,1187.0
Intel Core i7 7700HQ 2.8GHz,2449.0
Intel Core i3 6006U 2GHz,444.0
Intel Pentium Quad Core N3710 1.6GHz,324.0
Intel Core i5 1.3GHz,1510.0
Intel Core i7 7500U 2.7GHz,745.0
Intel Core i7 7700HQ 2.8GHz,1799.0
Intel Pentium Quad Core N3700 1.6GHz,393.49
Intel Core i7 7500U 2.7GHz,1292.0
Intel Core i7 7700HQ 2.8GHz,1189.0
Intel Core i5 6200U 2.3GHz,1513.0
AMD A9-Series A9-9420 3GHz,650.0
Intel Core i7 7700HQ 2.8GHz,1763.0
Intel Core i7 7560U 2.4GHz,1379.0
Intel Core i7 6600U 2.6GHz,2050.38
Intel Celeron Dual Core 3855U 1.6GHz,375.0
Intel Core i5 7200U 2.5GHz,1962.99
Intel Core i5 7300U 2.6GHz,1426.66
Intel Core i5 7200U 2.5GHz,589.52
Intel Core i5 6200U 2.3GHz,1072.0
Intel Atom x5-Z8550 1.44GHz,549.0
Intel Core i5 3.1GHz,2040.0
Intel Core i7 6500U 2.5GHz,2339.0
Intel Core i3 6006U 2GHz,459.0
Intel Celeron Dual Core N3350 2.0GHz,349.0
Intel Core i5 7300HQ 2.5GHz,819.0
Intel Core i7 7700HQ 2.8GHz,1379.0
Intel Core i7 7500U 2.7GHz,1185.43
Intel Core i5 7200U 2.5GHz,1189.0
Intel Core i7 7700HQ 2.8GHz,1249.26
Intel Atom x5-Z8350 1.44GHz,255.0
Intel Core i3 6006U 2GHz,465.0
Intel Core i5 7200U 2.5GHz,980.0
Intel Core i5 6200U 2.3GHz,1579.0
AMD FX 9830P 3GHz,699.0
Intel Pentium Quad Core N3710 1.6GHz,479.0
Intel Core i7 6500U 2.5GHz,1713.49
Intel Core i7 6820HK 2.7GHz,2349.0
Intel Core i7 7500U 2.7GHz,1207.0
Intel Core i7 7500U 2.7GHz,1584.0
Intel Core i5 6200U 2.3GHz,1049.6
Intel Core i3 6006U 2GHz,589.0
Intel Core i7 6500U 2.5GHz,1495.0
Intel Core i5 8250U 1.6GHz,1144.5
Intel Core i7 7Y75 1.3GHz,2199.0
Intel Core i7 7500U 2.7GHz,1799.0
Intel Core i7 8550U 1.8GHz,1949.0
Intel Core i7 7700HQ 2.8GHz,1943.0
Intel Core i5 6200U 2.3GHz,1096.0
Intel Celeron Dual Core N3050 1.6GHz,229.0
Intel Core i5 6200U 2.3GHz,1149.0
Intel Pentium Quad Core N3710 1.6GHz,389.0
Intel Core i5 7300HQ 2.5GHz,1195.0
Intel Core i7 7500U 2.7GHz,1009.9
Intel Core i7 8550U 1.8GHz,1399.0
Intel Atom x5-Z8350 1.44GHz,249.0
Intel Core i7 6700HQ 2.6GHz,2153.37
Intel Core i3 6006U 2GHz,449.0
Intel Core i5 7200U 2.5GHz,569.0
AMD A6-Series 9220 2.9GHz,309.0
Intel Core i7 6500U 2.5GHz,1500.0
Intel Core i7 7500U 2.7GHz,2450.0
Intel Core i7 7500U 2.7GHz,1299.0
Intel Core i7 7500U 2.7GHz,1477.0
Intel Core i7 7500U 2.7GHz,1950.0
Intel Core i5 7200U 2.5GHz,684.99
Intel Core i7 6700HQ 2.6GHz,1169.0
Intel Core i7 7500U 2.7GHz,598.0
Intel Core i3 6100U 2.3GHz,1135.15
Intel Core i3 7100U 2.4GHz,547.0
Intel Core i7 7700HQ 2.8GHz,999.0
AMD A12-Series 9720P 3.6GHz,429.0
Intel Core i5 7200U 2.5GHz,999.9
Intel Celeron Dual Core N3060 1.6GHz,289.0
Intel Core i3 6006U 2GHz,389.0
Intel Core i7 8550U 1.8GHz,1103.0
Intel Core i7 7700HQ 2.8GHz,3659.4
Intel Core i7 6700HQ 2.6GHz,899.0
Intel Core i7 7700HQ 2.8GHz,1199.0
Intel Core i5 7200U 2.5GHz,1060.0
Intel Core i5 7200U 2.5GHz,649.0
Intel Core i7 7700HQ 2.8GHz,2027.42
Intel Core i7 7700HQ 2.8GHz,1899.0
Intel Core i7 8550U 1.8GHz,1399.95
Intel Core i7 6500U 2.5GHz,638.0
Intel Core i3 6006U 2GHz,412.0
Intel Core i7 7700HQ 2.8GHz,1327.0
Intel Core i7 6500U 2.5GHz,2229.0
Intel Core i5 6300U 2.4GHz,1900.0
Intel Core i7 8550U 1.8GHz,898.9
Intel Core i5 6200U 2.3GHz,1690.0
Intel Core i5 6200U 2.3GHz,1095.0
Intel Core i7 7700HQ 2.8GHz,2241.5
Intel Core i7 8550U 1.8GHz,745.0
Intel Core i7 6500U 2.5GHz,1669.0
Intel Core i5 7200U 2.5GHz,559.0
Intel Core i3 6006U 2GHz,490.0
Intel Pentium Quad Core N4200 1.1GHz,398.99
Intel Core i7 7700HQ 2.8GHz,2029.0
Intel Core i7 7700HQ 2.8GHz,1890.0
AMD E-Series 7110 1.8GHz,349.0
Intel Core i7 6500U 2.5GHz,1499.0
Intel Celeron Dual Core N3350 1.1GHz,348.0
Intel Core i5 7200U 2.5GHz,564.0
Intel Core i7 8550U 1.8GHz,1197.0
Intel Core i5 8250U 1.6GHz,719.0
Intel Core i7 6500U 2.5GHz,638.0
Intel Core i7 6700HQ 2.6GHz,1769.0
Intel Core i7 6820HK 2.7GHz,1545.64
Intel Core i5 6200U 2.3GHz,1469.0
Intel Core i5 7200U 2.5GHz,638.99
Intel Celeron Dual Core N3350 1.1GHz,419.0
Intel Core i7 6500U 2.5GHz,1425.0
Intel Core i5 7300HQ 2.5GHz,1770.0
Intel Core M m3-7Y30 2.2GHz,989.0
Intel Core i7 6500U 2.5GHz,1399.0
Intel Core i3 6006U 2.0GHz,469.0
Intel Core i5 7200U 2.5GHz,599.0
Intel Atom x5-Z8350 1.44GHz,191.9
Intel Core i7 7500U 2.7GHz,805.99
Intel Core i7 7700HQ 2.8GHz,899.0
Intel Core i7 7500U 2.7GHz,805.99
Intel Pentium Quad Core N4200 1.1GHz,744.0
Intel Core i5 7200U 2.5GHz,919.0
Intel Core i3 7130U 2.7GHz,630.0
Intel Core i5 8250U 1.6GHz,818.35
Intel Core i7 7700HQ 2.8GHz,1349.0
Intel Core i5 8250U 1.6GHz,1399.0
Intel Celeron Dual Core N3050 1.6GHz,379.0
Intel Core M 6Y54 1.1GHz,1699.0
Intel Core i7 7700HQ 2.8GHz,1159.0
Intel Core i5 8250U 1.6GHz,914.0
Intel Core i3 7130U 2.7GHz,599.0
Intel Core i7 6500U 2.5GHz,1228.99
Intel Core i5 7500U 2.7GHz,1082.0
Intel Core i5 8250U 1.6GHz,770.0
Intel Core i7 6700HQ 2.6GHz,1029.0
Intel Core i3 6100U 2.3GHz,705.15
Intel Core i5 7200U 2.5GHz,889.0
Intel Core i7 8550U 1.8GHz,1449.0
Intel Core i5 7200U 2.5GHz,695.0
Intel Core i5 8250U 1.6GHz,797.41
Intel Core M M7-6Y75 1.2GHz,1159.0
Intel Core i5 7200U 2.5GHz,1099.0
Intel Core M 6Y75 1.2GHz,1965.0
Intel Core i7 7500U 2.7GHz,1049.9
Intel Core i7 8550U 1.8GHz,1579.0
Intel Celeron Dual Core N3050 1.6GHz,369.0
Intel Core i5 8250U 1.6GHz,698.0
AMD A9-Series 9420 3GHz,489.0
Intel Core i3 7100U 2.4GHz,509.0
Intel Core i5 6300U 2.4GHz,1062.95
Intel Celeron Dual Core N3060 1.6GHz,229.0
Intel Celeron Dual Core N3350 1.1GHz,275.0
Intel Core i7 7500U 2.7GHz,1483.0
Intel Core i3 6006U 2GHz,499.0
Intel Core i5 8250U 1.6GHz,1398.99
Intel Core i5 6200U 2.3GHz,1186.0
Intel Celeron Dual Core N3060 1.6GHz,389.0
Intel Core i5 7200U 2.5GHz,468.0
Intel Core i7 7700HQ 2.8GHz,869.0
Intel Core i5 7200U 2.5GHz,945.0
Intel Core i7 8550U 1.8GHz,1869.0
Intel Core i7 7500U 2.7GHz,1468.0
Intel Celeron Quad Core N3450 1.1GHz,389.0
Intel Core i7 7500U 2.7GHz,1399.0
Intel Core i7 7820HK 2.9GHz,2799.0
Intel Core i5 8250U 1.6GHz,1869.0
Intel Core i5 6300HQ 2.3GHz,579.0
Intel Core M M3-6Y30 0.9GHz,669.0
Intel Core i5 8250U 1.6GHz,726.0
Intel Core i5 7440HQ 2.8GHz,1179.0
Intel Core i5 2.0GHz,1419.0
Intel Core i7 8550U 1.8GHz,1229.56
Intel Core i7 7560U 2.4GHz,1379.0
Intel Core M 6Y30 0.9GHz,729.0
Intel Core i7 6600U 2.6GHz,2440.0
Intel Core i3 6006U 2GHz,544.0
Intel Pentium Quad Core N4200 1.1GHz,309.0
Intel Core i5 8250U 1.6GHz,941.0
AMD A9-Series 9410 2.9GHz,549.99
Intel Atom x5-Z8350 1.44GHz,248.9
Intel Core i7 7700HQ 2.8GHz,1899.0
Intel Core i7 7700HQ 2.8GHz,2699.0
Intel Core i7 6700HQ 2.6GHz,1899.0
Intel Core i5 6300U 2.4GHz,1535.0
Intel Core M m7-6Y75 1.2GHz,1299.0
Intel Celeron Dual Core N3060 1.6GHz,347.0
Intel Core i7 8550U 1.8GHz,985.0
Intel Core i5 6300U 2.4GHz,1099.0
Intel Core i7 7500U 2.7GHz,1145.0
Intel Core i7 7500U 2.7GHz,2590.0
Intel Core i5 6300HQ 2.3GHz,789.0
Intel Core i5 7200U 2.5GHz,955.0
Intel Core i5 8250U 1.6GHz,728.0
Intel Core i7 7700HQ 2.8GHz,1749.0
Intel Core i3 6006U 2.0GHz,465.62
Intel Core i7 7500U 2.7GHz,1970.0
Intel Core i5 7200U 2.5GHz,1700.0
Intel Core i7 7500U 2.7GHz,1304.0
Intel Core i5 8250U 1.6GHz,1841.85
Intel Core i3 6100U 2.3GHz,650.0
Intel Core i5 8250U 1.6GHz,722.0
Intel Core i7 8550U 1.8GHz,659.0
Intel Core i5 7200U 2.5GHz,589.0
Intel Core i5 7440HQ 2.8GHz,1205.0
Intel Core i7 7700HQ 2.8GHz,3012.77
Intel Core i7 7500U 2.7GHz,1649.0
Intel Celeron Dual Core N3060 1.6GHz,287.9
Intel Core i7 7500U 2.7GHz,1219.0
Intel Core i5 7300HQ 2.5GHz,846.0
Intel Core i7 7500U 2.7GHz,1149.0
Intel Core i5 8250U 1.6GHz,928.0
Intel Core i7 7700HQ 2.8GHz,1060.49
Intel Core i5 6200U 2.3GHz,602.0
AMD A12-Series 9720P 3.6GHz,549.0
Intel Core i7 7700HQ 2.8GHz,2399.0
Intel Core i7 7700HQ 2.8GHz,1199.0
Intel Core i5 7200U 2.5GHz,806.0
Intel Core i7 8550U 1.8GHz,1145.0
Intel Core i7 6500U 2.5GHz,2198.19
Intel Core i7 7700HQ 2.8GHz,1079.0
Intel Core i5 8250U 1.6GHz,794.0
Intel Celeron Dual Core N3060 1.6GHz,288.9
Intel Core i5 7200U 2.5GHz,1149.0
Intel Core i7 6500U 2.5GHz,1887.21
Intel Core i5 1.6GHz,959.0
Intel Core i7 6500U 2.5GHz,1499.0
Intel Core i7 8550U 1.8GHz,1499.0
Intel Core i7 7Y75 1.3GHz,1899.0
Intel Core i3 7100U 2.4GHz,705.5
Intel Core i3 6100U 2.3GHz,740.0
Intel Celeron Dual Core N3060 1.6GHz,249.0
Intel Core i5 6200U 2.3GHz,1579.0
Intel Core i5 6300HQ 2.3GHz,977.0
Intel Core i7 8650U 1.9GHz,1607.96
Intel Core i7 6820HQ 2.7GHz,1975.0
Intel Core i5 7300HQ 2.5GHz,829.0
Intel Core i7 7700HQ 2.8GHz,1498.0
Intel Core i5 7200U 2.5GHz,1499.0
Intel Core i5 7200U 2.5GHz,639.01
Intel Core i7 7500U 2.7GHz,599.9
Intel Core i7 7500U 2.7GHz,629.0
Intel Core i7 7820HK 2.9GHz,2729.0
Intel Core i5 7300HQ 2.5GHz,1369.9
Intel Core i5 8250U 1.6GHz,749.0
Intel Core i7 7500U 2.7GHz,961.0
Intel Core i5 7200U 2.5GHz,1034.0
Intel Core i5 8250U 1.6GHz,1142.75
Intel Core i3 6100U 2.3GHz,481.98
Intel Celeron Dual Core 3205U 1.5GHz,199.0
Intel Celeron Dual Core N3060 1.6GHz,279.0
Intel Core i7 7500U 2.7GHz,579.0
Intel Core i5 7200U 2.5GHz,499.0
Intel Core i7 7600U 2.8GHz,1775.0
Intel Core i5 7200U 2.5GHz,839.0
Intel Core i7 7700HQ 2.8GHz,879.0
Intel Core i7 7700HQ 2.8GHz,1039.0
Intel Core i7 6600U 2.6GHz,2041.0
Intel Core i5 7300HQ 2.5GHz,999.0
AMD E-Series E2-9000e 1.5GHz,349.0
Intel Core i7 7500U 2.7GHz,2254.0
Intel Core i7 8550U 1.8GHz,1099.0
Intel Core i7 6700HQ 2.6GHz,899.0
Intel Core i5 7Y54 1.2GHz,1899.0
Intel Core i7 7700HQ 2.8GHz,1149.0
AMD A12-Series 9720P 3.6GHz,949.0
Intel Core i7 7700HQ 2.8GHz,1265.0
Intel Core i5 7200U 2.5GHz,579.0
Intel Core i5 3.1GHz,1803.6
Intel Atom X5-Z8350 1.44GHz,210.8
Intel Xeon E3-1505M V6 3GHz,1993.0
Intel Celeron Dual Core N3350 1.1GHz,340.0
Intel Core i7 7820HQ 2.9GHz,2884.86
AMD A8-Series 7410 2.2GHz,469.0
AMD E-Series 6110 1.5GHz,277.99
Intel Celeron Dual Core 3205U 1.5GHz,209.0
Intel Core i5 7200U 2.5GHz,441.8
Intel Core i3 6006U 2GHz,450.0
Intel Core M m3 1.2GHz,1262.4
Intel Core i7 7500U 2.7GHz,1480.0
Intel Core i3 7130U 2.7GHz,367.0
Intel Core i3 7100U 2.4GHz,636.0
Intel Celeron Dual Core N3350 1.1GHz,299.0
Intel Core i3 6006U 2.0GHz,499.0
Intel Core i5 8250U 1.6GHz,799.0
AMD A9-Series 9420 3GHz,400.0
Intel Core i5 6200U 2.3GHz,1030.99
Intel Core M 1.1GHz,1163.0
Intel Core i5 7200U 2.5GHz,639.0
Intel Core i5 7200U 2.5GHz,539.0
Intel Core i3 6006U 2GHz,390.0
Intel Core i5 7200U 2.5GHz,750.0
Intel Core i7 8550U 1.8GHz,2449.0
Intel Pentium Quad Core N4200 1.1GHz,298.0
Intel Core i7 7660U 2.5GHz,2589.0
Intel Core i7 6820HK 2.7GHz,2663.0
Intel Core i3 6006U 2GHz,468.0
Intel Core i5 6200U 2.3GHz,1119.0
Intel Core i7 6600U 2.6GHz,2499.0
Intel Core i3 6006U 2GHz,579.0
AMD E-Series 9000e 1.5GHz,330.0
Intel Celeron Dual Core N3060 1.6GHz,274.0
Intel Core i7 7500U 2.7GHz,889.0
Intel Core i7 6600U 2.6GHz,1764.0
Intel Core i7 7700HQ 2.8GHz,1169.0
Intel Celeron Dual Core N3050 1.6GHz,369.0
Intel Core i7 7700HQ 2.8GHz,2639.0
Intel Core i7 6560U 2.2GHz,1799.0
Intel Core i7 7600U 2.8GHz,1749.0
Intel Core i7 7700HQ 2.8GHz,2505.02
Intel Celeron Dual Core N3060 1.6GHz,209.0
Intel Core i3 7100U 2.4GHz,699.0
Intel Core i5 6440HQ 2.6GHz,1369.0
Intel Core i3 6006U 2GHz,485.0
Intel Core i7 7500U 2.7GHz,1499.0
Intel Core i5 7200U 2.5GHz,590.0
Intel Pentium Quad Core N3710 1.6GHz,389.0
Intel Core i7 8550U 1.8GHz,699.0
Intel Core i7 6700HQ 2.6GHz,1312.49
Intel Core i7 7500U 2.7GHz,789.0
Intel Core i5 7200U 2.5GHz,1010.51
Intel Core i7 6700HQ 2.6GHz,909.0
Intel Core i7 6600U 2.6GHz,2299.0
Intel Core i5 7200U 2.5GHz,573.0
Intel Core i3 6006U 2GHz,389.0
Intel Core i7 7600U 2.8GHz,1099.0
Intel Core i5 6200U 2.3GHz,540.0
Intel Core i3 6006U 2GHz,439.0
Intel Core i7 7700HQ 2.8GHz,949.0
Intel Core i7 8550U 1.8GHz,2099.0
Intel Celeron Dual Core N3060 1.6GHz,385.0
Intel Celeron Dual Core N3050 1.6GHz,369.0
Intel Core i7 7700HQ 2.8GHz,2099.0
Intel Celeron Quad Core N3450 1.1GHz,369.0
Intel Core i3 6006U 2.0GHz,614.0
Intel Core i5 8250U 1.6GHz,829.0
Intel Core i7 6700HQ 2.6GHz,2350.0
Intel Core M 6Y75 1.2GHz,3100.0
Intel Core i7 7700HQ 2.8GHz,1820.0
Intel Celeron Dual Core N3350 1.1GHz,419.0
Intel Core i5 6200U 2.3GHz,769.15
Intel Core i7 6820HQ 2.7GHz,2399.0
Intel Core i3 7100U 2.4GHz,479.0
Intel Core i3 6006U 2GHz,499.0
Intel Core i5 8250U 1.6GHz,1149.0
Intel Core i7 8550U 1.8GHz,1130.33
Intel Core i5 7300HQ 2.5GHz,1089.0
Intel Core i7 7500U 2.7GHz,949.0
Intel Core i5 7200U 2.5GHz,585.0
Intel Core i7 6500U 2.5GHz,1296.99
Intel Core i7 7500U 2.7GHz,1799.0
Intel Core i7 7500U 2.7GHz,1049.0
Intel Core i7 7700HQ 2.8GHz,779.0
Intel Core i7 6700HQ 2.6GHz,1935.0
Intel Pentium Quad Core N4200 1.1GHz,380.0
Intel Core i5 7200U 2.5GHz,960.0
Intel Core i7 7700HQ 2.8GHz,1249.0
Intel Core i3 7100U 2.4GHz,435.0
Intel Celeron Dual Core N3350 1.1GHz,260.0
Intel Core i5 7200U 2.5GHz,943.0
Intel Core i7 7700HQ 2.8GHz,1749.0
Intel Core i3 7100U 2.4GHz,469.01
Intel Core i7 8550U 1.8GHz,841.0
Intel Core i5 7200U 2.5GHz,912.5
Intel Core i5 8250U 1.6GHz,613.0
Intel Core i5 7440HQ 2.8GHz,1089.0
Intel Core i5 7200U 2.5GHz,1144.0
Intel Core i7 6820HK 2.7GHz,3975.0
AMD E-Series E2-6110 1.5GHz,199.0
Intel Core i5 7300U 2.6GHz,869.0
Intel Pentium Quad Core N3710 1.6GHz,349.0
Intel Core i7 7500U 2.7GHz,849.9
Intel Core i7 7700HQ 2.8GHz,1749.0
Intel Core i7 7700HQ 2.8GHz,1845.0
Intel Celeron Dual Core N3350 1.1GHz,495.0
Intel Core i3 6006U 2GHz,449.0
Intel Core i3 6006U 2.0GHz,459.0
Intel Core i5 7200U 2.5GHz,784.0
Intel Celeron Dual Core N3350 1.1GHz,278.0
Intel Celeron Dual Core N3350 1.1GHz,306.0
Intel Pentium Quad Core N4200 1.1GHz,470.34
Intel Core i7 7500U 2.7GHz,1388.0
Intel Core i5 7200U 2.5GHz,498.0
Intel Core i3 6006U 2GHz,617.9
Intel Core i5 6200U 2.3GHz,910.0
Intel Core i5 6200U 2.3GHz,1020.0
Intel Core i5 6300HQ 2.3GHz,1129.0
Intel Core i5 7200U 2.5GHz,1799.0
Intel Core i5 7300U 2.6GHz,1650.0
Intel Core i5 7200U 2.5GHz,973.0
Intel Core i7 7700HQ 2.8GHz,1749.0
Intel Core i5 8250U 1.6GHz,1116.02
Intel Pentium Quad Core N3710 1.6GHz,530.0
Intel Core i7 7500U 2.7GHz,859.0
Intel Core i3 7100U 2.4GHz,586.6
Intel Celeron Dual Core 3855U 1.6GHz,318.0
Intel Core i7 6700HQ 2.6GHz,1196.0
Intel Core i5 7200U 2.5GHz,598.99
